new_index,longName,marketName,secIdList,Origin_Name,Origin_Stock,Origin_Country
233,AERCAP HOLDINGS NV,AER,NL0000687663,AERCAP HOLDINGS NV,AER,United States of America
234,AERIE PHARMACEUTICALS INC,NMS,US00771V1089,AERIE PHARMACEUTICALS INC,AERI,United States of America
235,AERIS ENVIRONMENTAL LTD,AEI,AU000000AEI8,AERIS ENVIRONMENTAL LTD,AEI,Australia
236,AERIS RESOURCES LTD,AIS,AU000000AIS8,AERIS RESOURCES LTD,AIS,Australia
237,AERKOMM INC,PRIMQX,US00774B2088,AERKOMM INC,AKOM,United States of America
238,AERO PERFORMANCE PRODUCTS,AERP,US00768W1018,AERO PERFORMANCE PRODUCTS,AERP,
239,AEROFLEX HOLDING CORP,ARX,US0077671065,AEROFLEX HOLDING CORP,ARX,
240,AEROFLOT PJSC,AFLT,RU0009062285,AEROFLOT PJSC,AFLT,Russia
241,AEROJET ROCKETDYNE HOLDINGS,AJRD,US0078001056,AEROJET ROCKETDYNE HOLDINGS,AJRD,Germany
242,AEROSPACE COMMUNICATIONS -A,600677,CNE000000BS6,AEROSPACE COMMUNICATIONS -A,600677,China
243,AEROSPACE HI-TECH HOLDINGS-A,000901,CNE000000Y86,AEROSPACE HI-TECH HOLDINGS-A,000901,China
244,AEROSUN CORP-A,600501,CNE000001857,AEROSUN CORP-A,600501,China
245,AEROTELESIS INC,AOTL,US0080412044,AEROTELESIS INC,AOTL,
246,AEROVIRONMENT INC,NMS,US0080731088,AEROVIRONMENT INC,AVAV,Germany
247,AESO HOLDING LTD,8341,KYG0113B1288,AESO HOLDING LTD,8341,Hong Kong
248,AETERNA ZENTARIS INC,AEZS,CA0079755017,AETERNA ZENTARIS INC,AEZS,United States of America
249,AETHER CATALYST SOLUTIONS IN,ATHR,CA00810C1032,AETHER CATALYST SOLUTIONS IN,ATHR,Canada
250,AETNA INC,AET,US00817Y1082,AETNA INC,AET,
251,AEVI GENOMIC MEDICINE INC,GNMX,US00835P1057,AEVI GENOMIC MEDICINE INC,GNMX,
252,AEVIS VICTORIA SA,AEVS,CH0478634105,AEVIS VICTORIA SA,AEVS,Switzerland
253,AF GLOBAL LTD,L38,SG1C01001033,AF GLOBAL LTD,L38,Singapore
254,AFARAK GROUP OYJ,SSX4,FI0009800098,AFARAK GROUP OYJ,AFRK,United Kingdom
